Identifier,rotate
DSCN9024.JPG,90
DSCN9025.JPG,0
DSCN9026.JPG,90
DSCN9027.JPG,90
DSCN9028.JPG,90
DSCN9029.JPG,90
DSCN9030.JPG,90
DSCN9031.JPG,0
DSCN9032.JPG,90
DSCN9033.JPG,90
DSCN9034.JPG,0
DSCN9035.JPG,90
DSCN9036.JPG,0
DSCN9037.JPG,90
DSCN9038.JPG,90
DSCN9039.JPG,90
DSCN9040.JPG,90
DSCN9041.JPG,270
DSCN9042.JPG,90
DSCN9043.JPG,90
DSCN9044.JPG,90
DSCN9045.JPG,90
DSCN9046.JPG,90
DSCN9047.JPG,90
DSCN9048.JPG,180
DSCN9049.JPG,90
DSCN9050.JPG,0
DSCN9051.JPG,90
DSCN9052.JPG,0
DSCN9053.JPG,90
DSCN9054.JPG,90
DSCN9055.JPG,90
DSCN9056.JPG,90
DSCN9057.JPG,90
DSCN9058.JPG,90
DSCN9059.JPG,270
DSCN9060.JPG,90
DSCN9061.JPG,90
DSCN9062.JPG,0
DSCN9063.JPG,90
DSCN9064.JPG,180
DSCN9065.JPG,90
DSCN9066.JPG,270
DSCN9067.JPG,90
DSCN9068.JPG,0
DSCN9069.JPG,90
DSCN9070.JPG,90
DSCN9071.JPG,0
DSCN9072.JPG,90
DSCN9073.JPG,90
DSCN9074.JPG,90
DSCN9075.JPG,270
DSCN9076.JPG,90
DSCN9077.JPG,270
DSCN9078.JPG,90
DSCN9079.JPG,270
DSCN9080.JPG,90
DSCN9081.JPG,90
DSCN9082.JPG,270
DSCN9083.JPG,90
DSCN9084.JPG,180
DSCN9085.JPG,90
DSCN9086.JPG,270
DSCN9087.JPG,0
DSCN9088.JPG,90
DSCN9089.JPG,90
DSCN9090.JPG,270
DSCN9091.JPG,0
DSCN9092.JPG,90
DSCN9093.JPG,0
DSCN9094.JPG,90
DSCN9095.JPG,0
DSCN9096.JPG,270
DSCN9097.JPG,90
DSCN9098.JPG,180
DSCN9099.JPG,180
DSCN9100.JPG,90
DSCN9101.JPG,90
DSCN9102.JPG,0
DSCN9103.JPG,90
DSCN9104.JPG,90
DSCN9105.JPG,270
DSCN9106.JPG,90
DSCN9107.JPG,0
DSCN9108.JPG,270
DSCN9109.JPG,0
DSCN9110.JPG,90
DSCN9111.JPG,0
DSCN9112.JPG,270
DSCN9113.JPG,90
DSCN9114.JPG,270
DSCN9115.JPG,90
DSCN9116.JPG,90
DSCN9117.JPG,90
DSCN9118.JPG,0
DSCN9119.JPG,90
DSCN9120.JPG,0
DSCN9121.JPG,90
DSCN9122.JPG,270
DSCN9123.JPG,90
DSCN9124.JPG,90
DSCN9125.JPG,0
DSCN9126.JPG,90
DSCN9127.JPG,90
DSCN9128.JPG,0
DSCN9129.JPG,90
DSCN9130.JPG,0
DSCN9131.JPG,90
DSCN9132.JPG,0
DSCN9133.JPG,90
DSCN9134.JPG,90
DSCN9135.JPG,90
DSCN9136.JPG,0
DSCN9137.JPG,90
DSCN9138.JPG,0
DSCN9139.JPG,90
DSCN9140.JPG,0
DSCN9141.JPG,90
DSCN9142.JPG,90
DSCN9143.JPG,0
DSCN9144.JPG,90
DSCN9145.JPG,0
DSCN9146.JPG,180
DSCN9147.JPG,90
DSCN9149.JPG,0
DSCN9150.JPG,180
